intro,song,artist
A tune to light up your week,No Surprises,Radiohead
Soundtrack for your week,Exit Music (For a Film),Radiohead
Set the tone this week with,Clair de Lune,Claude Debussy
Your weekly spark,Nuvole Bianche,Ludovico Einaudi
A sonic pick for the days ahead,Come Together,The Beatles
Press play and begin,Here Comes the Sun,The Beatles
A classic to revisit,Nocturne Op.9 No.2,Chopin
A record for focus and flow,Gymnopedie No.1,Erik Satie
Let this lead your week,Time,Hans Zimmer
Vibes for the journey,Experience,Ludovico Einaudi
Music to kick things off,So What,Miles Davis
Turn this on and get moving,Reckoner,Radiohead
A gentle push to start the week,Spiegel im Spiegel,Arvo Pärt
Fuel for thought and focus,On the Nature of Daylight,Max Richter
Something timeless for your days,De Ushuaia a la Quiaca,Gustavo Santaolalla
A spark for your mornings,Comptine d'un autre été:Yann Tiersen,Yann Tiersen
Evening companion for unwinding,Blue in Green,Miles Davis
A soundtrack for deep work,Where Is My Mind? (piano),Maxence Cyrin
Mood-setter for the week ahead,Por una Cabeza,Carlos Gardel
Play this while planning,First Breath After Coma,Explosions in the Sky
A groove to keep you going,Weightless,Marconi Union
Rhythms for clear thinking,Your Hand in Mine,Explosions in the Sky
Quiet confidence in album form,Una Mattina,Ludovico Einaudi
A modern classic to revisit,Nocturne in E-flat Major,Chopin
An easy lift for any day,The Girl from Ipanema,Antonio Carlos Jobim
Something bright and spacious,Holocene,Bon Iver
For rainy mornings and sunny afternoons,Águas de Março,Elis Regina & Tom Jobim
A comforting listen for busy weeks,Saturn,Sleeping At Last
Textured, patient, and rewarding,La valse d'Amélie,Yann Tiersen
Minimal, melodic, memorable,An Ending (Ascent),Brian Eno
For focus, flow, and calm,Open,Rhye
A record that reveals itself,Intro,The xx
Crisp, warm, and human,La Ritournelle,Sébastien Tellier
Energy without the rush,Love on a Real Train,Tangerine Dream
Lean in and let it play,Four Tet,Angel Echoes
A pulse to organize your day,Spiegel im Spiegel (cello),Arvo Pärt
Unfussy, honest, enduring,Chihiro,Joe Hisaishi
Headphones on, world off,Rise,Hans Zimmer
A soundtrack for quiet ambition,River Flows in You,Yiruma
Take five and press play,Take Five,Dave Brubeck
Play it loud, think softly,Intro,Alt-J
A gentle nudge toward momentum,Holocene (Live),Bon Iver
Steady rhythms, steady progress,All My Friends,LCD Soundsystem
A favorite for long stretches,We Own the Sky,M83
Let this one breathe in the background,Midnight City,M83
Warmth for colder minutes,Elegy for the Arctic,Ludovico Einaudi
A measured stride in album form,Clair de Lune (orchestral),Claude Debussy
Soft edges, sharp ideas,Prelude in E Minor,Chopin
Keep this close this week,Adagio for Strings,Samuel Barber

