asin,title,price,rating,reviews,bsr,link,source,score,estimated
B0ABCDE001,Stainless Steel Mixing Bowl Set,25.99,4.7,820,350,https://example.com/B0ABCDE001,serpapi,HIGH,False
B0ABCDE002,Non-Stick Frying Pan 12 Inch,32.5,4.6,560,450,https://example.com/B0ABCDE002,serpapi,HIGH,False
B0ABCDE003,Adjustable Dumbbell Set 20lb,40.0,4.2,210,900,https://example.com/B0ABCDE003,keepa,MEDIUM,False
B0ABCDE004,Yoga Mat Eco-Friendly 6mm,23.99,4.1,150,1200,https://example.com/B0ABCDE004,keepa,MEDIUM,False
B0ABCDE005,Baby Swaddle Blanket,18.5,4.5,300,1400,https://example.com/B0ABCDE005,serpapi,HIGH,False
B0ABCDE006,Portable Blender for Smoothies,29.99,3.8,90,1800,https://example.com/B0ABCDE006,manual,LOW,True
B0ABCDE007,Cordless Handheld Vacuum,65.99,4.4,430,320,https://example.com/B0ABCDE007,manual,HIGH,True
B0ABCDE008,Silicone Baking Mat 2 Pack,13.99,4.3,270,1000,https://example.com/B0ABCDE008,keepa,MEDIUM,False
B0ABCDE009,Organic Cotton Baby Bibs Set,16.99,4.0,80,2000,https://example.com/B0ABCDE009,serpapi,MEDIUM,True
B0ABCDE010,Electric Milk Frother Handheld,14.49,4.6,512,600,https://example.com/B0ABCDE010,manual,HIGH,False
